"expr","time","inits"
"Monotonic_0",1609032659,5
"Monotonic_0",1101221583,5
"Monotonic_0",1268746025,5
"Monotonic_0",1311297219,5
"Monotonic_0",1163037283,5
"Monotonic_0",1236979717,5
"Monotonic_0",1335866715,5
"Monotonic_0",1201093606,5
"Monotonic_0",1214663048,5
"Monotonic_0",1301356154,5
"Monotonic_0",12631526,10
"Monotonic_0",13512206,10
"Monotonic_0",14776769,10
"Monotonic_0",12617176,10
"Monotonic_0",13890267,10
"Monotonic_0",13840452,10
"Monotonic_0",13366697,10
"Monotonic_0",13261819,10
"Monotonic_0",15196240,10
"Monotonic_0",11946047,10
"Monotonic_0",10402684,15
"Monotonic_0",10006870,15
"Monotonic_0",10370540,15
"Monotonic_0",12721439,15
"Monotonic_0",10249016,15
"Monotonic_0",10381405,15
"Monotonic_0",12689254,15
"Monotonic_0",10417526,15
"Monotonic_0",9673663,15
"Monotonic_0",12334440,15
"Monotonic_0",15502469,20
"Monotonic_0",15836742,20
"Monotonic_0",17223936,20
"Monotonic_0",15353680,20
"Monotonic_0",16572487,20
"Monotonic_0",15792544,20
"Monotonic_0",18917277,20
"Monotonic_0",14869019,20
"Monotonic_0",16265766,20
"Monotonic_0",15027894,20
"Monotonic_0",614090579,25
"Monotonic_0",622582499,25
"Monotonic_0",658091164,25
"Monotonic_0",686600842,25
"Monotonic_0",705597208,25
"Monotonic_0",729637517,25
"Monotonic_0",728792466,25
"Monotonic_0",659327560,25
"Monotonic_0",625070707,25
"Monotonic_0",672084710,25
"Monotonic_0",21160879,30
"Monotonic_0",23425760,30
"Monotonic_0",19746871,30
"Monotonic_0",21284740,30
"Monotonic_0",19971674,30
"Monotonic_0",20925457,30
"Monotonic_0",21197779,30
"Monotonic_0",20463346,30
"Monotonic_0",21624753,30
"Monotonic_0",19850847,30
"Monotonic_0",7388405,35
"Monotonic_0",7146997,35
"Monotonic_0",6643763,35
"Monotonic_0",7378319,35
"Monotonic_0",8013081,35
"Monotonic_0",7194270,35
"Monotonic_0",6695423,35
"Monotonic_0",6824122,35
"Monotonic_0",7479753,35
"Monotonic_0",9522045,35
"Monotonic_0",24840219,40
"Monotonic_0",26781036,40
"Monotonic_0",23798901,40
"Monotonic_0",26024750,40
"Monotonic_0",27645480,40
"Monotonic_0",24687658,40
"Monotonic_0",26972834,40
"Monotonic_0",27412477,40
"Monotonic_0",24228868,40
"Monotonic_0",26848112,40
"Monotonic_0",10921826,45
"Monotonic_0",10143687,45
"Monotonic_0",11195911,45
"Monotonic_0",13513805,45
"Monotonic_0",9883829,45
"Monotonic_0",10295633,45
"Monotonic_0",10436919,45
"Monotonic_0",11707632,45
"Monotonic_0",10783656,45
"Monotonic_0",10714817,45
"Monotonic_0",3281517,50
"Monotonic_0",2558974,50
"Monotonic_0",2332490,50
"Monotonic_0",2413916,50
"Monotonic_0",2574718,50
"Monotonic_0",2465289,50
"Monotonic_0",2607764,50
"Monotonic_0",2980946,50
"Monotonic_0",2587551,50
"Monotonic_0",2427364,50
"Monotonic_0.5",8944293951,5
"Monotonic_0.5",9237114229,5
"Monotonic_0.5",8602745952,5
"Monotonic_0.5",8531065324,5
"Monotonic_0.5",8533374034,5
"Monotonic_0.5",8748480698,5
"Monotonic_0.5",8595210521,5
"Monotonic_0.5",9125053849,5
"Monotonic_0.5",9630053924,5
"Monotonic_0.5",9507287296,5
"Monotonic_0.5",7999999253,10
"Monotonic_0.5",8305328098,10
"Monotonic_0.5",7681569801,10
"Monotonic_0.5",8047471062,10
"Monotonic_0.5",7527517590,10
"Monotonic_0.5",8234911254,10
"Monotonic_0.5",7599905427,10
"Monotonic_0.5",7479336071,10
"Monotonic_0.5",7936376683,10
"Monotonic_0.5",7697997107,10
"Monotonic_0.5",5472090625,15
"Monotonic_0.5",5572070314,15
"Monotonic_0.5",5438912113,15
"Monotonic_0.5",5608125427,15
"Monotonic_0.5",5589525285,15
"Monotonic_0.5",5519718931,15
"Monotonic_0.5",6132591851,15
"Monotonic_0.5",5790917982,15
"Monotonic_0.5",6003754640,15
"Monotonic_0.5",6441493190,15
"Monotonic_0.5",2038949188,20
"Monotonic_0.5",2116032755,20
"Monotonic_0.5",2592536026,20
"Monotonic_0.5",2687345902,20
"Monotonic_0.5",2590520548,20
"Monotonic_0.5",2598209155,20
"Monotonic_0.5",2314094612,20
"Monotonic_0.5",2227780223,20
"Monotonic_0.5",2124158709,20
"Monotonic_0.5",2157352842,20
"Monotonic_0.5",4372676609,25
"Monotonic_0.5",4862916438,25
"Monotonic_0.5",4441639388,25
"Monotonic_0.5",3721243189,25
"Monotonic_0.5",4171800102,25
"Monotonic_0.5",4349464992,25
"Monotonic_0.5",4593572555,25
"Monotonic_0.5",4285400852,25
"Monotonic_0.5",3927136251,25
"Monotonic_0.5",3726522226,25
"Monotonic_0.5",4285485025,30
"Monotonic_0.5",4314291584,30
"Monotonic_0.5",4312547403,30
"Monotonic_0.5",4330298599,30
"Monotonic_0.5",4315225892,30
"Monotonic_0.5",4330688591,30
"Monotonic_0.5",4360549752,30
"Monotonic_0.5",4336483326,30
"Monotonic_0.5",4359473625,30
"Monotonic_0.5",4358297827,30
"Monotonic_0.5",2076869637,35
"Monotonic_0.5",2184482214,35
"Monotonic_0.5",2109291371,35
"Monotonic_0.5",2236331429,35
"Monotonic_0.5",2091623446,35
"Monotonic_0.5",2256674727,35
"Monotonic_0.5",2063280761,35
"Monotonic_0.5",2228695835,35
"Monotonic_0.5",2078759778,35
"Monotonic_0.5",2223626554,35
"Monotonic_0.5",4009135882,40
"Monotonic_0.5",4065115970,40
"Monotonic_0.5",4078299889,40
"Monotonic_0.5",4077902722,40
"Monotonic_0.5",4060101301,40
"Monotonic_0.5",4094192063,40
"Monotonic_0.5",4076815361,40
"Monotonic_0.5",4071254859,40
"Monotonic_0.5",4096057768,40
"Monotonic_0.5",4073186779,40
"Monotonic_0.5",1993384658,45
"Monotonic_0.5",2049876467,45
"Monotonic_0.5",2122586523,45
"Monotonic_0.5",2157191917,45
"Monotonic_0.5",2028699598,45
"Monotonic_0.5",2153804210,45
"Monotonic_0.5",2024044540,45
"Monotonic_0.5",2123086559,45
"Monotonic_0.5",2082982901,45
"Monotonic_0.5",2079204423,45
"Monotonic_0.5",4409414167,50
"Monotonic_0.5",4629206229,50
"Monotonic_0.5",4589880423,50
"Monotonic_0.5",4618613100,50
"Monotonic_0.5",4737285509,50
"Monotonic_0.5",4564566531,50
"Monotonic_0.5",4561748109,50
"Monotonic_0.5",4572255302,50
"Monotonic_0.5",4582806488,50
"Monotonic_0.5",4603018012,50
"Monotonic_1",16825479058,5
"Monotonic_1",17067229490,5
"Monotonic_1",17074559716,5
"Monotonic_1",17358183366,5
"Monotonic_1",17926245213,5
"Monotonic_1",17229715073,5
"Monotonic_1",17568589257,5
"Monotonic_1",17715271759,5
"Monotonic_1",18614293478,5
"Monotonic_1",17648408467,5
"Monotonic_1",18553532585,10
"Monotonic_1",18472378456,10
"Monotonic_1",18155091879,10
"Monotonic_1",18809662988,10
"Monotonic_1",18378101498,10
"Monotonic_1",18726673781,10
"Monotonic_1",19079918588,10
"Monotonic_1",19026940397,10
"Monotonic_1",18244525097,10
"Monotonic_1",18236078974,10
"Monotonic_1",17963984565,15
"Monotonic_1",18393447429,15
"Monotonic_1",18615234551,15
"Monotonic_1",18462537267,15
"Monotonic_1",18241963663,15
"Monotonic_1",17846233467,15
"Monotonic_1",17651153868,15
"Monotonic_1",17646366011,15
"Monotonic_1",17761827505,15
"Monotonic_1",17820732123,15
"Monotonic_1",19522103670,20
"Monotonic_1",19733659734,20
"Monotonic_1",19663346948,20
"Monotonic_1",19760644909,20
"Monotonic_1",19631993592,20
"Monotonic_1",19658204482,20
"Monotonic_1",19665571608,20
"Monotonic_1",19650523296,20
"Monotonic_1",19740522150,20
"Monotonic_1",19576613334,20
"Monotonic_1",23867006305,25
"Monotonic_1",24104124393,25
"Monotonic_1",23998394495,25
"Monotonic_1",24206894583,25
"Monotonic_1",24313833776,25
"Monotonic_1",25468060528,25
"Monotonic_1",25540925851,25
"Monotonic_1",25736721269,25
"Monotonic_1",23877773766,25
"Monotonic_1",23138111544,25
"Monotonic_1",33695047835,30
"Monotonic_1",33901975245,30
"Monotonic_1",33639094274,30
"Monotonic_1",33592809292,30
"Monotonic_1",33631231991,30
"Monotonic_1",33620183270,30
"Monotonic_1",33658309908,30
"Monotonic_1",33718089138,30
"Monotonic_1",33708230032,30
"Monotonic_1",33711704823,30
"Monotonic_1",20180269659,35
"Monotonic_1",20612169030,35
"Monotonic_1",20220858470,35
"Monotonic_1",20145646799,35
"Monotonic_1",20260959996,35
"Monotonic_1",20115567354,35
"Monotonic_1",20182750118,35
"Monotonic_1",20186819532,35
"Monotonic_1",20965617853,35
"Monotonic_1",20854227372,35
"Monotonic_1",20376534404,40
"Monotonic_1",20524930870,40
"Monotonic_1",20364571137,40
"Monotonic_1",20168461659,40
"Monotonic_1",20010448766,40
"Monotonic_1",20122975603,40
"Monotonic_1",20021513231,40
"Monotonic_1",20072449786,40
"Monotonic_1",20176076712,40
"Monotonic_1",20648145341,40
"Monotonic_1",26725830402,45
"Monotonic_1",27194060160,45
"Monotonic_1",27326871829,45
"Monotonic_1",26554608129,45
"Monotonic_1",27186236089,45
"Monotonic_1",28838967245,45
"Monotonic_1",27332961149,45
"Monotonic_1",28187385897,45
"Monotonic_1",27462061539,45
"Monotonic_1",26963486492,45
"Monotonic_1",36287222897,50
"Monotonic_1",36055583024,50
"Monotonic_1",35434591243,50
"Monotonic_1",35563577694,50
"Monotonic_1",35380236764,50
"Monotonic_1",35553888984,50
"Monotonic_1",36128905210,50
"Monotonic_1",35585295312,50
"Monotonic_1",36642696546,50
"Monotonic_1",35617166375,50
"Skinny_0",16800143682,5
"Skinny_0",16977337031,5
"Skinny_0",16861625273,5
"Skinny_0",16901306959,5
"Skinny_0",16956879138,5
"Skinny_0",17461443383,5
"Skinny_0",16944547158,5
"Skinny_0",16663187733,5
"Skinny_0",16461915166,5
"Skinny_0",16889189081,5
"Skinny_0",22615879661,10
"Skinny_0",22511059799,10
"Skinny_0",22472663012,10
"Skinny_0",21620358579,10
"Skinny_0",21697441162,10
"Skinny_0",21554131525,10
"Skinny_0",21824781545,10
"Skinny_0",21681052314,10
"Skinny_0",21887295680,10
"Skinny_0",21948536806,10
"Skinny_0",14831606582,15
"Skinny_0",14989909919,15
"Skinny_0",14962261815,15
"Skinny_0",15112910206,15
"Skinny_0",14928474248,15
"Skinny_0",15013455276,15
"Skinny_0",14995229874,15
"Skinny_0",15219065397,15
"Skinny_0",15203447800,15
"Skinny_0",15764931812,15
"Skinny_0",17250031680,20
"Skinny_0",17153551423,20
"Skinny_0",18109248508,20
"Skinny_0",17088711112,20
"Skinny_0",17042227977,20
"Skinny_0",17082441597,20
"Skinny_0",17077326273,20
"Skinny_0",17574381696,20
"Skinny_0",17082494282,20
"Skinny_0",17085379165,20
"Skinny_0",30796501544,25
"Skinny_0",30203950889,25
"Skinny_0",30078889122,25
"Skinny_0",30047333964,25
"Skinny_0",30213799130,25
"Skinny_0",29506949249,25
"Skinny_0",29574202492,25
"Skinny_0",29480267433,25
"Skinny_0",29519780650,25
"Skinny_0",29487805652,25
"Skinny_0",33507994642,30
"Skinny_0",33572551110,30
"Skinny_0",33519411502,30
"Skinny_0",33621450129,30
"Skinny_0",33577508051,30
"Skinny_0",33550889744,30
"Skinny_0",33589237126,30
"Skinny_0",33588328156,30
"Skinny_0",33482183543,30
"Skinny_0",33531019668,30
"Skinny_0",23377049663,35
"Skinny_0",23415682446,35
"Skinny_0",23447637149,35
"Skinny_0",23446401163,35
"Skinny_0",23447938171,35
"Skinny_0",23414735346,35
"Skinny_0",23411993512,35
"Skinny_0",23419304468,35
"Skinny_0",23421783820,35
"Skinny_0",23417457008,35
"Skinny_0",16488710921,40
"Skinny_0",16600976260,40
"Skinny_0",16630612536,40
"Skinny_0",16692664478,40
"Skinny_0",16661310712,40
"Skinny_0",16737655951,40
"Skinny_0",16582138195,40
"Skinny_0",16593287940,40
"Skinny_0",16605394092,40
"Skinny_0",16621331284,40
"Skinny_0",14667321550,45
"Skinny_0",14672731213,45
"Skinny_0",14746306779,45
"Skinny_0",14736038083,45
"Skinny_0",14692856760,45
"Skinny_0",14747999669,45
"Skinny_0",14707107704,45
"Skinny_0",14718107266,45
"Skinny_0",14761006714,45
"Skinny_0",14694452890,45
"Skinny_0",24135334987,50
"Skinny_0",24234951990,50
"Skinny_0",24198648294,50
"Skinny_0",24301174329,50
"Skinny_0",24205766591,50
"Skinny_0",24241992223,50
"Skinny_0",24590941788,50
"Skinny_0",24177235470,50
"Skinny_0",24123408046,50
"Skinny_0",24172190871,50
"Skinny_0.5",5511706260,5
"Skinny_0.5",5649272084,5
"Skinny_0.5",5569323765,5
"Skinny_0.5",5634579283,5
"Skinny_0.5",5583481762,5
"Skinny_0.5",5602618512,5
"Skinny_0.5",5635086658,5
"Skinny_0.5",5583621572,5
"Skinny_0.5",5655543731,5
"Skinny_0.5",5552654354,5
"Skinny_0.5",2520119981,10
"Skinny_0.5",2646868160,10
"Skinny_0.5",2589686567,10
"Skinny_0.5",2624498355,10
"Skinny_0.5",2666628643,10
"Skinny_0.5",2603657932,10
"Skinny_0.5",2607887574,10
"Skinny_0.5",2646051440,10
"Skinny_0.5",2640812255,10
"Skinny_0.5",2596941681,10
"Skinny_0.5",2487161024,15
"Skinny_0.5",2648867279,15
"Skinny_0.5",2537145313,15
"Skinny_0.5",2573009653,15
"Skinny_0.5",2619928249,15
"Skinny_0.5",2591086348,15
"Skinny_0.5",2567248661,15
"Skinny_0.5",2615599879,15
"Skinny_0.5",2770740886,15
"Skinny_0.5",2545250439,15
"Skinny_0.5",1310361804,20
"Skinny_0.5",1305349677,20
"Skinny_0.5",1355057421,20
"Skinny_0.5",1376250854,20
"Skinny_0.5",1314890131,20
"Skinny_0.5",1365212260,20
"Skinny_0.5",1356767859,20
"Skinny_0.5",1326337208,20
"Skinny_0.5",1371707111,20
"Skinny_0.5",1333514422,20
"Skinny_0.5",1973208681,25
"Skinny_0.5",1996011979,25
"Skinny_0.5",2035732492,25
"Skinny_0.5",2003439047,25
"Skinny_0.5",2042736194,25
"Skinny_0.5",1994038649,25
"Skinny_0.5",2051667552,25
"Skinny_0.5",1984286676,25
"Skinny_0.5",2061848344,25
"Skinny_0.5",1978610800,25
"Skinny_0.5",1496765229,30
"Skinny_0.5",1542328611,30
"Skinny_0.5",1545238545,30
"Skinny_0.5",1595535172,30
"Skinny_0.5",1536552039,30
"Skinny_0.5",1565564787,30
"Skinny_0.5",1583365716,30
"Skinny_0.5",1524511487,30
"Skinny_0.5",1586794833,30
"Skinny_0.5",1548841010,30
"Skinny_0.5",615946444,35
"Skinny_0.5",636490519,35
"Skinny_0.5",645200067,35
"Skinny_0.5",661969764,35
"Skinny_0.5",645340082,35
"Skinny_0.5",622360074,35
"Skinny_0.5",643220095,35
"Skinny_0.5",651927839,35
"Skinny_0.5",662593579,35
"Skinny_0.5",676898438,35
"Skinny_0.5",901700659,40
"Skinny_0.5",932261526,40
"Skinny_0.5",935944843,40
"Skinny_0.5",952229797,40
"Skinny_0.5",970798779,40
"Skinny_0.5",896730352,40
"Skinny_0.5",927826433,40
"Skinny_0.5",957889683,40
"Skinny_0.5",957991117,40
"Skinny_0.5",933108012,40
"Skinny_0.5",1351581892,45
"Skinny_0.5",1405087466,45
"Skinny_0.5",1420893827,45
"Skinny_0.5",1371108183,45
"Skinny_0.5",1419244233,45
"Skinny_0.5",1443243542,45
"Skinny_0.5",1357412748,45
"Skinny_0.5",1412293708,45
"Skinny_0.5",1442928785,45
"Skinny_0.5",1360322518,45
"Skinny_0.5",800813722,50
"Skinny_0.5",838086617,50
"Skinny_0.5",838634377,50
"Skinny_0.5",857311640,50
"Skinny_0.5",812022179,50
"Skinny_0.5",835278937,50
"Skinny_0.5",852499306,50
"Skinny_0.5",858500763,50
"Skinny_0.5",883294570,50
"Skinny_0.5",803228212,50
"Skinny_1",6695046948,5
"Skinny_1",6701807766,5
"Skinny_1",6718193949,5
"Skinny_1",6758600638,5
"Skinny_1",6767507355,5
"Skinny_1",6693974675,5
"Skinny_1",6725987434,5
"Skinny_1",6744369292,5
"Skinny_1",6784277790,5
"Skinny_1",6694386520,5
"Skinny_1",15261287812,10
"Skinny_1",15363972599,10
"Skinny_1",15348102934,10
"Skinny_1",15363124309,10
"Skinny_1",15384933685,10
"Skinny_1",15345076314,10
"Skinny_1",15350941528,10
"Skinny_1",15372584485,10
"Skinny_1",15359096592,10
"Skinny_1",15489158514,10
"Skinny_1",9664888754,15
"Skinny_1",10111448782,15
"Skinny_1",9752323427,15
"Skinny_1",9662266886,15
"Skinny_1",9759389818,15
"Skinny_1",9642121782,15
"Skinny_1",9799732506,15
"Skinny_1",9684608729,15
"Skinny_1",9776153078,15
"Skinny_1",9718783336,15
"Skinny_1",8677480752,20
"Skinny_1",8797798901,20
"Skinny_1",8741188889,20
"Skinny_1",8776764630,20
"Skinny_1",8789263439,20
"Skinny_1",8781230309,20
"Skinny_1",8774015334,20
"Skinny_1",8769706275,20
"Skinny_1",8746183509,20
"Skinny_1",8791502613,20
"Skinny_1",14560139801,25
"Skinny_1",14672354833,25
"Skinny_1",14598482181,25
"Skinny_1",14656579140,25
"Skinny_1",14595519398,25
"Skinny_1",14674219390,25
"Skinny_1",14591606276,25
"Skinny_1",14679337584,25
"Skinny_1",14692532819,25
"Skinny_1",14798089533,25
"Skinny_1",17352885182,30
"Skinny_1",17342271307,30
"Skinny_1",17381091173,30
"Skinny_1",17376538984,30
"Skinny_1",17297812998,30
"Skinny_1",17328684727,30
"Skinny_1",17347212627,30
"Skinny_1",17839172980,30
"Skinny_1",17373467428,30
"Skinny_1",17346975852,30
"Skinny_1",3730026947,35
"Skinny_1",3781370345,35
"Skinny_1",3753805635,35
"Skinny_1",3767089553,35
"Skinny_1",3756750050,35
"Skinny_1",3759904918,35
"Skinny_1",3759254576,35
"Skinny_1",3755773594,35
"Skinny_1",3764320659,35
"Skinny_1",3762963477,35
"Skinny_1",14458353898,40
"Skinny_1",14614255455,40
"Skinny_1",14526044406,40
"Skinny_1",14619318135,40
"Skinny_1",14541409402,40
"Skinny_1",14629592407,40
"Skinny_1",14515452220,40
"Skinny_1",14499340122,40
"Skinny_1",14653354203,40
"Skinny_1",14517998935,40
"Skinny_1",17008826097,45
"Skinny_1",17084875234,45
"Skinny_1",17080469169,45
"Skinny_1",17075739040,45
"Skinny_1",17098118398,45
"Skinny_1",17051894957,45
"Skinny_1",17062986974,45
"Skinny_1",17070408507,45
"Skinny_1",17062884556,45
"Skinny_1",17116189845,45
"Skinny_1",19418519261,50
"Skinny_1",19449173198,50
"Skinny_1",19544220423,50
"Skinny_1",19538314947,50
"Skinny_1",19467914052,50
"Skinny_1",19637166070,50
"Skinny_1",19451530329,50
"Skinny_1",19501707277,50
"Skinny_1",19441969006,50
"Skinny_1",19483446861,50
"Sparse_0",14687902074,5
"Sparse_0",14771108499,5
"Sparse_0",14758012074,5
"Sparse_0",14769732703,5
"Sparse_0",14768577487,5
"Sparse_0",14773030661,5
"Sparse_0",14790724621,5
"Sparse_0",14798506339,5
"Sparse_0",14792838130,5
"Sparse_0",14814034679,5
"Sparse_0",14601206139,10
"Sparse_0",14699264978,10
"Sparse_0",14780083276,10
"Sparse_0",14764026979,10
"Sparse_0",14727308609,10
"Sparse_0",14820403373,10
"Sparse_0",14684133518,10
"Sparse_0",14693546667,10
"Sparse_0",14686155925,10
"Sparse_0",14766835479,10
"Sparse_0",16305195413,15
"Sparse_0",16412659242,15
"Sparse_0",16406356886,15
"Sparse_0",16292478238,15
"Sparse_0",16355440175,15
"Sparse_0",16322504998,15
"Sparse_0",16311897396,15
"Sparse_0",16386558273,15
"Sparse_0",16362801028,15
"Sparse_0",16322348624,15
"Sparse_0",11489588711,20
"Sparse_0",11602761667,20
"Sparse_0",11601705548,20
"Sparse_0",11604459887,20
"Sparse_0",11613228885,20
"Sparse_0",11601447043,20
"Sparse_0",11579517455,20
"Sparse_0",11584809653,20
"Sparse_0",11612837253,20
"Sparse_0",11601803169,20
"Sparse_0",14348056682,25
"Sparse_0",14395124477,25
"Sparse_0",14430953926,25
"Sparse_0",14433010240,25
"Sparse_0",14401464143,25
"Sparse_0",14472410010,25
"Sparse_0",14384214090,25
"Sparse_0",14444648582,25
"Sparse_0",14438390137,25
"Sparse_0",14399478964,25
"Sparse_0",17486822916,30
"Sparse_0",17601317220,30
"Sparse_0",17592534897,30
"Sparse_0",17619312243,30
"Sparse_0",17592483647,30
"Sparse_0",17620549213,30
"Sparse_0",17621524890,30
"Sparse_0",17605552971,30
"Sparse_0",17681334870,30
"Sparse_0",17633730713,30
"Sparse_0",10251380019,35
"Sparse_0",10250886543,35
"Sparse_0",10327401112,35
